step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
116,12,12,62.8,59.5,1427,0.9811,569.0,0,14.4,2.3,0,0,ppo,rl_v2,0,0
117,12,12,41.9,52.4,1257,0.9952,575.0,0,14.0,2.1,0,0,ppo,rl_v2,0,0
118,12,12,29.8,47.8,1146,1.0,581.0,0,14.0,1.9,0,0,ppo,rl_v2,0,0
119,9,9,65.1,59.3,1068,0.9813,585.5,1,14.3,2.3,0,0,ppo,rl_v2,0,0
120,9,9,64.1,62.1,1118,0.9758,590.0,0,14.4,2.4,0,0,ppo,rl_v2,0,0
121,12,9,54.9,56.4,1016,0.9871,594.5,1,14.3,2.2,0,3,ppo,rl_v2,0,0
122,12,12,10.3,47.2,962,1.0,600.5,0,14.2,1.6,0,0,ppo,rl_v2,0,0
123,9,9,42.5,52.2,939,0.9957,605.0,1,14.2,2.1,0,0,ppo,rl_v2,0,0
124,9,9,48.2,54.2,975,0.9917,609.5,0,14.2,2.1,0,0,ppo,rl_v2,0,0
125,9,9,41.3,52.2,939,0.9957,614.0,0,14.0,2.1,0,0,ppo,rl_v2,0,0
126,9,9,40.1,53.3,959,0.9934,618.5,0,14.4,2.1,0,0,ppo,rl_v2,0,0
127,9,9,33.5,48.8,878,1.0,623.0,0,14.0,1.9,0,0,ppo,rl_v2,0,0
128,9,9,32.4,48.7,876,1.0,627.5,0,14.3,1.9,0,0,ppo,rl_v2,0,0
129,9,9,18.6,43.9,791,1.0,632.0,0,13.9,1.7,0,0,ppo,rl_v2,0,0
130,9,9,14.6,42.4,763,1.0,636.5,0,13.8,1.7,0,0,ppo,rl_v2,0,0
131,9,9,13.4,41.4,746,1.0,641.0,0,13.8,1.6,0,0,ppo,rl_v2,0,0
132,9,9,47.6,53.8,968,0.9924,645.5,0,14.2,2.1,0,0,ppo,rl_v2,0,0
133,9,9,43.0,51.6,928,0.9969,650.0,0,14.2,2.0,0,0,ppo,rl_v2,0,0
134,9,9,27.7,49.2,886,1.0,654.5,0,14.2,1.9,0,0,ppo,rl_v2,0,0
135,9,9,50.4,55.9,1007,0.9881,659.0,0,14.3,2.2,0,0,ppo,rl_v2,0,0
136,9,9,31.3,48.5,873,1.0,663.5,0,13.9,1.9,0,0,ppo,rl_v2,0,0
137,9,9,27.5,46.8,842,1.0,668.0,0,14.1,1.8,0,0,ppo,rl_v2,0,0
138,9,9,31.3,47.6,856,1.0,672.5,0,14.0,1.9,0,0,ppo,rl_v2,0,0
139,9,9,30.7,47.4,854,1.0,677.0,0,14.3,1.9,0,0,ppo,rl_v2,0,0
140,9,9,15.6,42.7,768,1.0,681.5,0,13.8,1.7,0,0,ppo,rl_v2,0,0
141,9,9,16.9,43.2,778,1.0,686.0,0,13.9,1.7,0,0,ppo,rl_v2,0,0
142,9,9,19.3,45.2,814,1.0,690.5,0,14.1,1.8,0,0,ppo,rl_v2,0,0
143,9,9,20.5,44.7,805,1.0,695.0,0,13.9,1.8,0,0,ppo,rl_v2,0,0
144,9,9,33.4,49.8,897,1.0,699.5,0,13.9,2.0,0,0,ppo,rl_v2,0,0
145,9,9,30.4,48.9,880,1.0,704.0,0,13.9,1.9,0,0,ppo,rl_v2,0,0
146,9,9,36.6,49.8,897,1.0,708.5,0,14.0,2.0,0,0,ppo,rl_v2,0,0
147,9,9,27.1,48.3,869,1.0,713.0,0,14.3,1.9,0,0,ppo,rl_v2,0,0
148,9,9,20.3,44.8,806,1.0,717.5,0,14.1,1.8,0,0,ppo,rl_v2,0,0
149,9,9,19.7,44.4,800,1.0,722.0,0,14.1,1.7,0,0,ppo,rl_v2,0,0
150,9,9,33.2,49.9,898,1.0,726.5,0,14.3,2.0,0,0,ppo,rl_v2,0,0
151,9,9,57.8,59.7,1074,0.9807,731.0,0,14.3,2.3,0,0,ppo,rl_v2,0,0
152,9,9,32.2,49.5,891,1.0,735.5,0,14.3,1.9,0,0,ppo,rl_v2,0,0
153,12,9,14.2,42.0,756,1.0,740.0,1,14.0,1.7,0,3,ppo,rl_v2,0,0
154,9,7,49.7,62.5,800,0.9857,743.5,1,14.6,2.2,0,2,ppo,rl_v2,0,0
155,9,8,47.4,63.0,857,0.9929,747.5,0,14.3,2.1,0,1,ppo,rl_v2,0,0
156,12,8,47.0,59.7,884,0.9895,751.5,1,14.4,2.2,0,4,ppo,rl_v2,0,0
157,12,9,32.1,51.8,870,1.0,756.0,0,14.5,1.9,0,3,ppo,rl_v2,0,0
