step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
95,12,12,56.8,57.5,1380,0.985,412.0,0,14.3,2.3,0,0,ppo,rl_v2,0,0
96,12,12,41.0,50.5,1211,0.9991,418.0,0,13.9,2.0,0,0,ppo,rl_v2,0,0
97,12,12,27.8,46.1,1106,1.0,424.0,0,13.8,1.8,0,0,ppo,rl_v2,0,0
98,9,9,74.5,65.6,1181,0.9688,428.5,1,14.6,2.1,0,0,ppo,rl_v2,0,0
99,9,9,69.4,62.8,1131,0.9743,433.0,0,14.4,2.1,0,0,ppo,rl_v2,0,0
100,12,9,47.4,54.6,983,0.9908,437.5,1,14.2,1.8,0,3,ppo,rl_v2,0,0
101,12,12,9.0,45.7,933,1.0,443.5,0,14.2,1.5,0,0,ppo,rl_v2,0,0
102,9,9,23.8,45.9,827,1.0,448.0,1,14.3,1.5,0,0,ppo,rl_v2,0,0
103,9,9,21.8,44.7,804,1.0,452.5,0,13.7,1.5,0,0,ppo,rl_v2,0,0
104,9,9,56.3,57.3,1032,0.9853,457.0,0,14.4,1.9,0,0,ppo,rl_v2,0,0
105,9,9,40.9,52.1,938,0.9958,461.5,0,14.0,1.7,0,0,ppo,rl_v2,0,0
106,9,9,23.2,45.6,821,1.0,466.0,0,14.1,1.5,0,0,ppo,rl_v2,0,0
107,9,9,24.3,46.3,834,1.0,470.5,0,14.1,1.5,0,0,ppo,rl_v2,0,0
108,9,9,18.4,44.9,809,1.0,475.0,0,13.9,1.5,0,0,ppo,rl_v2,0,0
109,9,9,14.5,42.2,760,1.0,479.5,0,13.6,1.4,0,0,ppo,rl_v2,0,0
110,9,9,26.0,46.7,840,1.0,484.0,0,14.0,1.5,0,0,ppo,rl_v2,0,0
111,9,9,27.7,47.8,860,1.0,488.5,0,13.7,1.6,0,0,ppo,rl_v2,0,0
112,9,9,13.7,41.9,754,1.0,493.0,0,14.0,1.4,0,0,ppo,rl_v2,0,0
113,9,9,12.5,41.7,750,1.0,497.5,0,13.9,1.4,0,0,ppo,rl_v2,0,0
114,9,9,13.0,41.6,748,1.0,502.0,0,13.5,1.4,0,0,ppo,rl_v2,0,0
115,9,9,8.0,37.3,672,1.0,506.5,0,13.5,1.2,0,0,ppo,rl_v2,0,0
116,9,9,8.4,35.3,636,1.0,511.0,0,13.5,1.2,0,0,ppo,rl_v2,0,0
117,8,8,8.4,37.2,595,1.0,515.0,1,13.8,1.0,0,0,ppo,rl_v2,0,0
118,8,8,8.0,38.5,616,1.0,519.0,0,13.8,1.0,0,0,ppo,rl_v2,0,0
119,8,8,8.8,33.2,532,1.0,523.0,0,13.5,0.9,0,0,ppo,rl_v2,0,0
120,8,8,20.4,45.4,727,1.0,527.0,0,14.2,1.2,0,0,ppo,rl_v2,0,0
121,8,8,46.3,53.7,859,0.9926,531.0,0,14.1,1.4,0,0,ppo,rl_v2,0,0
122,9,8,32.7,49.2,787,1.0,535.0,1,14.0,1.3,0,1,ppo,rl_v2,0,0
123,9,8,22.6,45.3,725,1.0,539.0,0,14.1,1.2,0,1,ppo,rl_v2,0,0
124,9,9,8.8,40.4,679,1.0,543.5,0,13.7,1.2,0,0,ppo,rl_v2,0,0
125,9,9,19.6,47.6,799,1.0,548.0,0,13.9,1.5,0,0,ppo,rl_v2,0,0
126,9,9,29.9,48.1,865,1.0,552.5,0,14.0,1.6,0,0,ppo,rl_v2,0,0
127,9,9,8.7,35.2,634,1.0,557.0,0,13.5,1.2,0,0,ppo,rl_v2,0,0
128,9,9,8.8,32.0,576,1.0,561.5,0,13.6,1.0,0,0,ppo,rl_v2,0,0
129,8,8,9.7,33.2,532,1.0,565.5,1,13.6,0.9,0,0,ppo,rl_v2,0,0
130,8,8,8.5,40.0,640,1.0,569.5,0,13.7,1.0,0,0,ppo,rl_v2,0,0
131,8,8,23.5,46.0,736,1.0,573.5,0,14.3,1.2,0,0,ppo,rl_v2,0,0
132,8,8,38.4,50.9,814,0.9982,577.5,0,14.4,1.3,0,0,ppo,rl_v2,0,0
133,9,8,27.0,46.8,748,1.0,581.5,1,13.9,1.2,0,1,ppo,rl_v2,0,0
134,9,8,40.1,53.5,856,0.993,585.5,0,14.2,1.4,0,1,ppo,rl_v2,0,0
135,9,8,32.0,49.5,792,1.0,589.5,0,13.9,1.3,0,1,ppo,rl_v2,0,0
136,9,9,37.1,53.6,901,0.9999,594.0,0,14.4,1.6,0,0,ppo,rl_v2,0,0
137,9,9,20.5,47.9,805,1.0,598.5,0,13.7,1.5,0,0,ppo,rl_v2,0,0
138,9,9,14.8,42.3,762,1.0,603.0,0,13.9,1.4,0,0,ppo,rl_v2,0,0
139,9,9,11.3,40.8,735,1.0,607.5,0,13.7,1.3,0,0,ppo,rl_v2,0,0
140,9,9,17.7,43.1,775,1.0,612.0,0,13.9,1.4,0,0,ppo,rl_v2,0,0
141,9,9,8.7,32.2,580,1.0,616.5,0,13.8,1.1,0,0,ppo,rl_v2,0,0
142,9,9,10.2,27.4,493,1.0,621.0,0,13.1,0.9,0,0,ppo,rl_v2,0,0
143,8,8,9.2,36.9,591,1.0,625.0,1,13.7,1.0,0,0,ppo,rl_v2,0,0
144,8,8,15.3,42.5,680,1.0,629.0,0,13.6,1.1,0,0,ppo,rl_v2,0,0
145,8,8,8.1,33.3,533,1.0,633.0,0,13.8,0.9,0,0,ppo,rl_v2,0,0
146,9,8,8.1,36.9,591,1.0,637.0,1,13.8,1.0,0,1,ppo,rl_v2,0,0
147,8,7,13.2,42.0,588,1.0,640.5,1,14.0,1.1,0,1,ppo,rl_v2,0,0
148,8,8,9.2,36.5,540,1.0,644.5,0,14.0,0.9,0,0,ppo,rl_v2,0,0
149,9,8,8.7,32.5,481,1.0,648.5,1,13.5,0.8,0,1,ppo,rl_v2,0,0
150,8,8,14.6,46.1,682,1.0,652.5,1,14.0,1.1,0,0,ppo,rl_v2,0,0
151,8,8,39.0,55.3,819,0.9976,656.5,0,14.0,1.3,0,0,ppo,rl_v2,0,0
152,9,8,34.2,50.1,802,0.9998,660.5,1,14.2,1.3,0,1,ppo,rl_v2,0,0
153,9,8,11.8,41.2,660,1.0,664.5,0,13.9,1.1,0,1,ppo,rl_v2,0,0
154,9,9,9.7,36.1,607,1.0,669.0,0,13.8,1.1,0,0,ppo,rl_v2,0,0
155,9,9,9.2,37.7,634,1.0,673.5,0,13.4,1.2,0,0,ppo,rl_v2,0,0
156,8,8,8.9,35.9,574,1.0,677.5,1,13.5,0.9,0,0,ppo,rl_v2,0,0
157,8,8,8.0,32.1,514,1.0,681.5,0,13.7,0.8,0,0,ppo,rl_v2,0,0
158,8,8,9.0,34.4,550,1.0,685.5,0,13.5,0.9,0,0,ppo,rl_v2,0,0
159,8,8,8.3,36.7,587,1.0,689.5,0,13.8,1.0,0,0,ppo,rl_v2,0,0
160,8,8,8.0,36.1,577,1.0,693.5,0,14.1,0.9,0,0,ppo,rl_v2,0,0
161,8,8,9.1,30.8,493,1.0,697.5,0,13.4,0.8,0,0,ppo,rl_v2,0,0
162,8,8,8.4,30.6,490,1.0,701.5,0,13.5,0.8,0,0,ppo,rl_v2,0,0
163,8,8,9.2,32.1,514,1.0,705.5,0,13.6,0.8,0,0,ppo,rl_v2,0,0
164,8,8,8.2,32.5,520,1.0,709.5,0,13.5,0.9,0,0,ppo,rl_v2,0,0
165,8,8,8.0,36.6,585,1.0,713.5,0,13.4,1.0,0,0,ppo,rl_v2,0,0
166,8,8,8.9,28.7,460,1.0,717.5,0,13.4,0.8,0,0,ppo,rl_v2,0,0
167,8,8,8.6,25.1,402,1.0,721.5,0,13.0,0.7,0,0,ppo,rl_v2,0,0
168,8,8,8.2,29.0,464,1.0,725.5,0,13.6,0.8,0,0,ppo,rl_v2,0,0
169,8,8,8.0,36.2,579,1.0,729.5,0,13.8,0.9,0,0,ppo,rl_v2,0,0
170,8,8,18.9,43.7,699,1.0,733.5,0,14.2,1.1,0,0,ppo,rl_v2,0,0
171,8,8,17.7,43.4,695,1.0,737.5,0,13.9,1.1,0,0,ppo,rl_v2,0,0
172,9,8,8.0,31.2,499,1.0,741.5,1,13.7,0.8,0,1,ppo,rl_v2,0,0
173,9,8,8.2,29.1,465,1.0,745.5,0,13.5,0.8,0,1,ppo,rl_v2,0,0
174,8,8,9.3,32.2,476,1.0,749.5,1,13.8,0.8,0,0,ppo,rl_v2,0,0
175,8,8,8.8,33.0,488,1.0,753.5,0,13.7,0.8,0,0,ppo,rl_v2,0,0
176,8,8,8.0,32.6,522,1.0,757.5,0,13.7,0.9,0,0,ppo,rl_v2,0,0
177,8,8,8.9,28.6,458,1.0,761.5,0,13.4,0.8,0,0,ppo,rl_v2,0,0
178,8,8,9.1,26.6,425,1.0,765.5,0,13.4,0.7,0,0,ppo,rl_v2,0,0
179,8,8,8.5,31.6,505,1.0,769.5,0,13.7,0.8,0,0,ppo,rl_v2,0,0
180,8,8,12.0,40.9,654,1.0,773.5,0,14.0,1.1,0,0,ppo,rl_v2,0,0
181,8,8,15.9,43.1,689,1.0,777.5,0,13.9,1.1,0,0,ppo,rl_v2,0,0
182,9,8,9.7,40.3,645,1.0,781.5,1,13.6,1.1,0,1,ppo,rl_v2,0,0
183,9,9,8.9,38.6,649,1.0,786.0,0,14.0,1.2,0,0,ppo,rl_v2,0,0
184,9,9,8.8,40.2,676,1.0,790.5,0,13.9,1.2,0,0,ppo,rl_v2,0,0
185,8,8,16.7,43.4,694,1.0,794.5,1,14.0,1.1,0,0,ppo,rl_v2,0,0
186,8,8,8.0,34.0,544,1.0,798.5,0,13.8,0.9,0,0,ppo,rl_v2,0,0
187,9,8,8.9,27.6,442,1.0,802.5,1,13.3,0.7,0,1,ppo,rl_v2,0,0
188,8,8,9.0,27.0,400,1.0,806.5,1,13.8,0.7,0,0,ppo,rl_v2,0,0
189,8,8,9.3,29.3,433,1.0,810.5,0,13.4,0.7,0,0,ppo,rl_v2,0,0
