step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
157,6,6,17.4,47.6,514,1.0,705.5,1,13.8,1.1,0,0,dqn,rl_v2,0,0
158,6,6,20.8,45.8,550,1.0,708.5,0,13.7,1.2,0,0,dqn,rl_v2,0,0
159,6,6,27.3,48.9,587,1.0,711.5,0,14.0,1.3,0,0,dqn,rl_v2,0,0
160,6,6,29.1,48.1,577,1.0,714.5,0,13.9,1.3,0,0,dqn,rl_v2,0,0
161,12,6,11.2,41.1,493,1.0,717.5,1,13.7,1.1,0,6,dqn,rl_v2,0,0
162,12,10,9.9,32.2,490,1.0,722.5,0,14.0,1.0,0,2,dqn,rl_v2,0,0
163,12,11,10.4,32.1,514,1.0,728.0,0,13.2,0.9,0,1,dqn,rl_v2,0,0
164,6,6,17.6,48.1,520,1.0,731.0,1,14.0,0.9,0,0,dqn,rl_v2,0,0
165,6,6,33.2,54.2,585,1.0,734.0,0,14.0,1.0,0,0,dqn,rl_v2,0,0
166,6,6,8.0,38.3,460,1.0,737.0,0,13.8,0.8,0,0,dqn,rl_v2,0,0
167,12,6,8.6,33.5,402,1.0,740.0,1,13.9,0.7,0,6,dqn,rl_v2,0,0
168,12,8,9.3,34.1,464,1.0,744.0,0,13.5,1.0,0,4,dqn,rl_v2,0,0
169,12,10,10.3,38.1,579,1.0,749.0,0,13.7,1.1,0,2,dqn,rl_v2,0,0
170,12,11,10.1,38.0,699,1.0,754.5,0,13.5,1.2,0,1,dqn,rl_v2,0,0
171,12,12,8.9,32.2,695,1.0,760.5,0,13.6,1.1,0,0,dqn,rl_v2,0,0
172,7,7,9.5,39.0,499,1.0,764.0,1,13.7,0.9,0,0,dqn,rl_v2,0,0
173,7,7,8.0,33.2,465,1.0,767.5,0,13.2,0.9,0,0,dqn,rl_v2,0,0
174,5,5,25.3,47.6,476,1.0,770.0,1,13.7,0.9,0,0,dqn,rl_v2,0,0
175,5,5,26.7,48.8,488,1.0,772.5,0,14.5,1.0,0,0,dqn,rl_v2,0,0
176,6,5,36.4,52.2,522,0.9956,775.0,1,13.9,1.0,0,1,dqn,rl_v2,0,0
177,12,5,22.5,45.8,458,1.0,777.5,1,13.8,0.9,0,7,dqn,rl_v2,0,0
178,12,10,10.4,30.4,425,1.0,782.5,0,13.7,0.7,0,2,dqn,rl_v2,0,0
179,12,11,11.6,34.1,505,1.0,788.0,0,13.5,0.9,0,1,dqn,rl_v2,0,0
180,6,6,42.4,60.6,654,0.991,791.0,1,14.4,1.1,0,0,dqn,rl_v2,0,0
181,6,6,51.5,63.8,689,0.9852,794.0,0,14.7,1.1,0,0,dqn,rl_v2,0,0
182,12,6,39.4,53.8,645,0.9925,797.0,1,14.3,1.1,0,6,dqn,rl_v2,0,0
183,12,9,9.2,45.1,649,1.0,801.5,0,14.4,1.2,0,3,dqn,rl_v2,0,0
184,12,11,10.1,42.2,676,1.0,807.0,0,13.7,1.2,0,1,dqn,rl_v2,0,0
185,12,12,9.6,34.0,694,1.0,813.0,0,13.5,1.1,0,0,dqn,rl_v2,0,0
186,7,7,8.4,42.5,544,1.0,816.5,1,13.7,1.0,0,0,dqn,rl_v2,0,0
187,7,7,8.1,31.6,442,1.0,820.0,0,13.8,0.8,0,0,dqn,rl_v2,0,0
188,6,6,8.0,33.3,400,1.0,823.0,1,13.6,0.7,0,0,dqn,rl_v2,0,0
189,5,5,18.1,43.3,433,1.0,825.5,1,14.0,0.9,0,0,dqn,rl_v2,0,0
190,5,5,54.0,60.1,601,0.9798,828.0,0,14.5,1.2,0,0,dqn,rl_v2,0,0
191,6,5,26.1,47.6,476,1.0,830.5,1,13.8,0.9,0,1,dqn,rl_v2,0,0
192,12,6,9.6,40.1,433,1.0,833.5,1,13.6,0.7,0,6,dqn,rl_v2,0,0
193,12,9,9.8,41.1,543,1.0,838.0,0,14.1,1.0,0,3,dqn,rl_v2,0,0
194,12,11,9.6,34.6,553,1.0,843.5,0,13.7,1.0,0,1,dqn,rl_v2,0,0
195,12,11,9.8,27.1,531,1.0,849.0,0,13.5,0.9,0,1,dqn,rl_v2,0,0
196,7,7,8.6,42.6,545,1.0,852.5,1,13.6,1.0,0,0,dqn,rl_v2,0,0
197,6,6,25.2,47.8,573,1.0,855.5,1,14.4,0.9,0,0,dqn,rl_v2,0,0
198,6,6,8.0,35.5,426,1.0,858.5,0,13.5,0.7,0,0,dqn,rl_v2,0,0
199,6,6,8.5,39.2,471,1.0,861.5,0,13.5,0.8,0,0,dqn,rl_v2,0,0
200,5,5,24.5,47.1,471,1.0,864.0,1,13.9,0.9,0,0,dqn,rl_v2,0,0
201,5,5,36.1,52.4,524,0.9952,866.5,0,14.0,1.0,0,0,dqn,rl_v2,0,0
202,6,5,51.5,58.3,583,0.9834,869.0,1,13.9,1.1,0,1,dqn,rl_v2,0,0
203,12,5,64.8,63.0,630,0.974,871.5,1,14.4,1.2,0,7,dqn,rl_v2,0,0
204,12,9,12.5,56.2,742,1.0,876.0,0,14.9,1.4,0,3,dqn,rl_v2,0,0
205,12,9,26.6,62.9,830,1.0,880.5,0,14.0,1.5,0,3,dqn,rl_v2,0,0
206,12,11,15.5,47.0,922,1.0,886.0,0,14.0,1.6,0,1,dqn,rl_v2,0,0
207,12,11,9.0,38.6,756,1.0,891.5,0,13.6,1.4,0,1,dqn,rl_v2,0,0
208,12,12,9.2,32.0,730,1.0,897.5,0,13.4,1.2,0,0,dqn,rl_v2,0,0
